Designator,Footprint,Quantity,Value,LCSC Part #
MX1,MXOnly-1U-Hotswap,1,MX-1U,
MX4,MXOnly-1U-Hotswap,1,MX-1U,
MX5,MXOnly-1U-Hotswap,1,MX-1U,
MX6,MXOnly-1U-Hotswap,1,MX-1U,
MX7,MXOnly-1U-Hotswap,1,MX-1U,
MX8,MXOnly-1U-Hotswap,1,MX-1U,
MX9,MXOnly-1U-Hotswap,1,MX-1U,
MX10,MXOnly-1U-Hotswap,1,MX-1U,
MX11,MXOnly-1U-Hotswap,1,MX-1U,
MX12,MXOnly-1U-Hotswap,1,MX-1U,
MX13,MXOnly-1U-Hotswap,1,MX-1U,
MX14,MXOnly-1U-Hotswap,1,MX-1U,
MX15,MXOnly-1U-Hotswap,1,MX-1U,
MX16,MXOnly-1U-Hotswap,1,MX-1U,
MX17,MXOnly-1U-Hotswap,1,MX-1U,
MX18,MXOnly-1U-Hotswap,1,MX-1U,
MX19,MXOnly-1U-Hotswap,1,MX-1U,
MX20,MXOnly-1U-Hotswap,1,MX-1U,
MX21,MXOnly-1U-Hotswap,1,MX-1U,
MX22,MXOnly-1U-Hotswap,1,MX-1U,
MX23,MXOnly-1U-Hotswap,1,MX-1U,
MX24,MXOnly-1U-Hotswap,1,MX-1U,
MX25,MXOnly-1U-Hotswap,1,MX-1U,
MX26,MXOnly-1U-Hotswap,1,MX-1U,
MX27,MXOnly-1U-Hotswap,1,MX-1U,
MX28,MXOnly-1U-Hotswap,1,MX-1U,
MX29,MXOnly-1U-Hotswap,1,MX-1U,
MX30,MXOnly-1U-Hotswap,1,MX-1U,
MX31,MXOnly-1U-Hotswap,1,MX-1U,
MX32,MXOnly-1U-Hotswap,1,MX-1U,
MX33,MXOnly-1U-Hotswap,1,MX-1U,
MX34,MXOnly-1U-Hotswap,1,MX-1U,
MX35,MXOnly-1U-Hotswap,1,MX-1U,
MX36,MXOnly-1U-Hotswap,1,MX-1U,
MX37,MXOnly-1U-Hotswap,1,MX-1U,
MX38,MXOnly-1U-Hotswap,1,MX-1U,
MX39,MXOnly-1U-Hotswap,1,MX-1U,
MX40,MXOnly-1U-Hotswap,1,MX-1U,
MX41,MXOnly-1U-Hotswap,1,MX-1U,
MX42_2,MXOnly-1U-Hotswap,1,MX-1U,
MX43_2,MXOnly-1U-Hotswap,1,MX-1U,
MX44,MXOnly-1U-Hotswap,1,MX-1U,
MX45,MXOnly-1U-Hotswap,1,MX-1U,
MX46,MXOnly-1U-Hotswap,1,MX-1U,
MX47,MXOnly-1U-Hotswap,1,MX-1U,
MX48,MXOnly-1U-Hotswap,1,MX-1U,
MX49,MXOnly-2U-Hotswap,1,MX-2U,
MX2,MXOnly-1U-Hotswap,1,MX-1U,
MX3,MXOnly-1U-Hotswap,1,MX-1U,
MX43,MXOnly-2U-Hotswap,1,MX-1U,
J3,FanPinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
MX42,MXOnly-2U-Hotswap,1,MX-1U,
U1,pro_micro,1,ProMicro,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D3,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D4,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D5,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D6,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D7,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D8,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D9,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D10,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D11,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D12,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D13,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D14,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D15,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D16,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D17,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D18,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D19,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D20,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D21,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D22,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D23,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D24,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D25,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D26,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D27,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D28,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D29,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D30,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D31,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D32,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D33,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D34,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D35,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D36,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D37,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D38,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D39,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D40,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D41,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D42,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D43,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D44,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D45,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D46,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D47,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D48,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW1,PushButton_6x6mm_TH_Pretty,1,SW_PUSH,
J1,Pin_Header_Straight_1x04_Pitch2.54mm,1,Conn_01x04,
USB-C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
R3,D_A-405_P5.08mm_Vertical_AnodeUp,1,R,
R4,D_A-405_P5.08mm_Vertical_AnodeUp,1,R,
